c_of_o_id,plot_number,block_number,area_name,state,owner_name,date_registered,status
C-OF-O-49B65A2C,9,42,GRA,Enugu,Esther Balogun,2012-02-28,Verified
C-OF-O-2EA577B4,167,5,Surulere,Lagos,Joshua Obi,2017-09-25,Verified
C-OF-O-B6A6A3D3,71,37,Surulere,Lagos,Gloria Chukwu,2017-05-06,Verified
C-OF-O-FBC8A82C,49,34,Ikeja GRA,Lagos,Hope Adeyemi,2012-07-19,Verified
C-OF-O-E68FB428,59,34,Onitsha GRA,Anambra,Gloria Nnamani,2021-04-04,Verified
C-OF-O-0BB0F9F2,64,28,New Haven,Enugu,Grace Balogun,2023-12-30,Verified
C-OF-O-5CC0ECB8,150,1,Ikoyi,Lagos,Joy Olawale,2013-02-12,Verified
C-OF-O-E2F5B6E1,40,2,GRA,Enugu,Sarah Okafor,2019-02-02,Verified
C-OF-O-1160A5FB,83,1,Nnewi,Anambra,Comfort Oshodi,2013-07-04,Verified
C-OF-O-98A54BCF,161,39,Ikoyi,Lagos,Patience Balogun,2018-07-08,Verified
C-OF-O-4B5FA9E5,187,22,Ikoyi,Lagos,Emmanuel Eze,2018-01-10,Verified
C-OF-O-FFDB61E1,193,41,Ikeja GRA,Lagos,Faith Eze,2019-08-09,Verified
C-OF-O-94418356,58,48,Trans-Ekulu,Enugu,Michael Ojo,2020-10-30,Verified
C-OF-O-00B4A1E1,91,27,Uwani,Enugu,Mark Ibrahim,2020-11-26,Verified
C-OF-O-995CA756,164,18,Nnewi,Anambra,Mark Akinwale,2011-07-21,Verified
C-OF-O-135DC3D9,158,36,Trans-Ekulu,Enugu,Mary Abiola,2014-05-30,Verified
C-OF-O-4ACA1FCE,125,16,Surulere,Lagos,Samuel Oyekan,2014-08-06,Verified
C-OF-O-DB739ECD,174,43,Uwani,Enugu,Paul Adetokunbo,2022-06-21,Verified
C-OF-O-21DB1F30,78,16,Victoria Island,Lagos,Deborah Okafor,2019-03-05,Verified
C-OF-O-1F8A1448,75,3,Amawbia,Anambra,Charity Olawale,2019-11-09,Verified
C-OF-O-0E5018E2,163,14,Victoria Island,Lagos,Mark Ekwueme,2021-06-16,Verified
C-OF-O-4042F3E9,130,21,Nnewi,Anambra,Paul Oyekan,2021-08-14,Verified
C-OF-O-373C12F0,100,34,Onitsha GRA,Anambra,Michael Oyekan,2014-03-03,Verified
C-OF-O-2653500E,37,24,Enugu-Ukwu,Anambra,Paul Adetokunbo,2015-04-02,Verified
C-OF-O-304B59B4,55,27,Uwani,Enugu,John Okonkwo,2017-12-31,Verified
C-OF-O-A5802C29,100,30,Nnewi,Anambra,Paul Adetokunbo,2020-09-18,Pledged as Collateral
C-OF-O-4594D86C,139,15,Surulere,Lagos,James Balogun,2022-05-11,Verified
C-OF-O-A4E4C692,28,2,Uwani,Enugu,Hope Akinwale,2021-03-08,Verified
C-OF-O-F729B6F2,148,5,Uwani,Enugu,Nathaniel Okafor,2014-05-16,Verified
C-OF-O-3B5D071E,42,29,Enugu-Ukwu,Anambra,Ruth Ibrahim,2023-12-16,Verified
C-OF-O-97136360,168,50,Onitsha GRA,Anambra,Stephen Ibrahim,2013-06-08,Verified
C-OF-O-9CF6BC7C,146,38,Amawbia,Anambra,Cornelius Olawale,2020-09-19,Verified
C-OF-O-2697725F,35,36,Surulere,Lagos,Benjamin Olawale,2011-05-10,Verified
C-OF-O-A239E31E,184,49,Onitsha GRA,Anambra,Daniel Okafor,2014-02-17,Verified
C-OF-O-D6E07DFB,180,7,Victoria Island,Lagos,Paul Adetokunbo,2023-10-20,Verified
C-OF-O-11280804,94,12,Trans-Ekulu,Enugu,Hope Chukwu,2015-08-31,Verified
C-OF-O-09DF316F,105,42,GRA,Enugu,Blessing Oyekan,2019-08-22,Verified
C-OF-O-7D9827A2,171,19,New Haven,Enugu,Charity Obasanjo,2010-12-07,Verified
C-OF-O-7210D809,85,23,Onitsha GRA,Anambra,Cornelius Balogun,2013-10-29,Verified
C-OF-O-2BD4FFCA,94,47,Enugu-Ukwu,Anambra,Charity Oyekan,2014-12-01,Verified
C-OF-O-09F09A30,119,32,Trans-Ekulu,Enugu,Comfort Ekwueme,2013-11-23,Verified
C-OF-O-03D207AE,42,25,Trans-Ekulu,Enugu,Peace Ojo,2014-04-21,Verified
C-OF-O-0C00CF0F,197,30,Victoria Island,Lagos,Faith Nnamani,2012-07-07,Verified
C-OF-O-18AD0632,134,48,Ikeja GRA,Lagos,Andrew Oshodi,2020-02-20,Verified
C-OF-O-D4E3F6FB,136,28,Enugu-Ukwu,Anambra,Angela Ojo,2016-06-06,Verified
C-OF-O-90E2775C,72,23,Victoria Island,Lagos,Blessing Okonkwo,2010-12-02,Under Dispute
C-OF-O-905473B4,82,33,Surulere,Lagos,Gabriel Chukwu,2014-06-13,Verified
C-OF-O-AD011AF7,38,14,Ikoyi,Lagos,Peace Eze,2011-11-13,Verified
C-OF-O-9620AF86,71,19,Trans-Ekulu,Enugu,Benjamin Ibrahim,2022-10-29,Verified
